name,entry,size,thunk,calling_convention
FUN_100054a0,100054a0,178,0,unknown
FUN_100154e0,100154e0,178,0,unknown
FUN_10011970,10011970,177,0,unknown
FUN_10020740,10020740,173,0,unknown
FUN_1001dc00,1001dc00,171,0,unknown
FUN_10002d60,10002d60,170,0,unknown
FUN_10010540,10010540,170,0,unknown
FUN_1001de60,1001de60,167,0,unknown
FUN_1001e6e0,1001e6e0,167,0,unknown
FUN_1001e790,1001e790,167,0,unknown
__IsNonwritableInCurrentImage,10021030,166,0,__cdecl
FUN_100185d0,100185d0,165,0,unknown
FUN_10005100,10005100,164,0,unknown
FUN_10012060,10012060,155,0,unknown
FUN_10016450,10016450,155,0,unknown
___security_init_cookie,100211ae,155,0,__cdecl
FUN_10012c00,10012c00,154,0,unknown
FUN_10014670,10014670,154,0,unknown
FUN_10019970,10019970,154,0,unknown
FUN_1001e940,1001e940,153,0,unknown
FUN_1001eb00,1001eb00,153,0,unknown
FUN_1001eba0,1001eba0,153,0,unknown
FUN_1001ec40,1001ec40,153,0,unknown
FUN_1001ece0,1001ece0,153,0,unknown
FUN_1001fed0,1001fed0,153,0,unknown
__onexit,10020e9b,152,0,unknown
FUN_1000d490,1000d490,150,0,unknown
FUN_1001db60,1001db60,150,0,unknown
FUN_1001dcb0,1001dcb0,150,0,unknown
FUN_1001e840,1001e840,150,0,unknown
FUN_10016220,10016220,149,0,unknown
FUN_10011690,10011690,148,0,unknown
FUN_10015cc0,10015cc0,144,0,unknown
FUN_10002490,10002490,143,0,unknown
FUN_1001f730,1001f730,141,0,unknown
FUN_10020100,10020100,141,0,unknown
FUN_10008e90,10008e90,140,0,unknown
FUN_10006b30,10006b30,139,0,unknown
FUN_10012100,10012100,138,0,unknown
FUN_10014710,10014710,138,0,unknown
FUN_10001750,10001750,136,0,unknown
FUN_10014250,10014250,136,0,unknown
FUN_10014c60,10014c60,136,0,unknown
FUN_10006ea0,10006ea0,135,0,unknown
FUN_1000f2b0,1000f2b0,134,0,unknown
FUN_1000a300,1000a300,131,0,unknown
FUN_1000a390,1000a390,131,0,unknown
FUN_1000a790,1000a790,131,0,unknown
FUN_1000f960,1000f960,131,0,unknown
FUN_10014ba0,10014ba0,131,0,unknown
FUN_1000d6c0,1000d6c0,128,0,unknown
FUN_10005260,10005260,126,0,unknown
FUN_100118f0,100118f0,123,0,unknown
FUN_1001f150,1001f150,121,0,unknown
FUN_1000a4f0,1000a4f0,120,0,unknown
FUN_10001140,10001140,119,0,unknown
FUN_1000a640,1000a640,117,0,unknown
FUN_100212a6,100212a6,117,0,unknown
FUN_10015f10,10015f10,113,0,unknown
FUN_1001efa0,1001efa0,112,0,unknown
FUN_100105f0,100105f0,110,0,unknown
FUN_100160f0,100160f0,109,0,unknown
